title,author,school,sentence_spacy,sentence_str,original_publication_date,corpus_edition_date,sentence_length,sentence_lowered,tokenized_txt,lemmatized_str
Capital,Marx,communism,"Hence Aristotle: since chrematistic is a double science, one part belonging to commerce, the other to economic, the latter being necessary and praiseworthy, the former based on circulation and with justice disapproved (for it is not based on Nature, but on mutual cheating), therefore the usurer is most rightly hated, because money itself is the source of his gain, and is not used for the purposes for which it was invented.","Hence Aristotle: since chrematistic is a double science, one part belonging to commerce, the other to economic, the latter being necessary and praiseworthy, the former based on circulation and with justice disapproved (for it is not based on Nature, but on mutual cheating), therefore the usurer is most rightly hated, because money itself is the source of his gain, and is not used for the purposes for which it was invented.",1883,1887,426,"hence aristotle: since chrematistic is a double science, one part belonging to commerce, the other to economic, the latter being necessary and praiseworthy, the former based on circulation and with justice disapproved (for it is not based on nature, but on mutual cheating), therefore the usurer is most rightly hated, because money itself is the source of his gain, and is not used for the purposes for which it was invented.","['hence', 'aristotle', 'since', 'chrematistic', 'is', 'double', 'science', 'one', 'part', 'belonging', 'to', 'commerce', 'the', 'other', 'to', 'economic', 'the', 'latter', 'being', 'necessary', 'and', 'praiseworthy', 'the', 'former', 'based', 'on', 'circulation', 'and', 'with', 'justice', 'disapproved', 'for', 'it', 'is', 'not', 'based', 'on', 'nature', 'but', 'on', 'mutual', 'cheating', 'therefore', 'the', 'usurer', 'is', 'most', 'rightly', 'hated', 'because', 'money', 'itself', 'is', 'the', 'source', 'of', 'his', 'gain', 'and', 'is', 'not', 'used', 'for', 'the', 'purposes', 'for', 'which', 'it', 'was', 'invented']"," hence Aristotle : since chrematistic be a double science , one part belong to commerce , the other to economic , the latter be necessary and praiseworthy , the former base on circulation and with justice disapprove ( for -PRON- be not base on Nature , but on mutual cheating ) , therefore the usurer be most rightly hate , because money -PRON- be the source of -PRON- gain , and be not use for the purpose for which -PRON- be invent ."
Capital,Marx,communism,"We know, moreover, that this reduction is no mere scientific process.","We know, moreover, that this reduction is no mere scientific process.",1883,1887,69,"we know, moreover, that this reduction is no mere scientific process.","['we', 'know', 'moreover', 'that', 'this', 'reduction', 'is', 'no', 'mere', 'scientific', 'process']"," -PRON- know , moreover , that this reduction be no mere scientific process ."
Capital,Marx,communism,"Very well, and by way of reward he is now in possession of good yarn instead of a bad conscience; and as for playing the part of a miser, it would never do for him to relapse into such bad ways as that; we have seen before to what results such asceticism leads.","Very well, and by way of reward he is now in possession of good yarn instead of a bad conscience; and as for playing the part of a miser, it would never do for him to relapse into such bad ways as that; we have seen before to what results such asceticism leads.",1883,1887,261,"very well, and by way of reward he is now in possession of good yarn instead of a bad conscience; and as for playing the part of a miser, it would never do for him to relapse into such bad ways as that; we have seen before to what results such asceticism leads.","['very', 'well', 'and', 'by', 'way', 'of', 'reward', 'he', 'is', 'now', 'in', 'possession', 'of', 'good', 'yarn', 'instead', 'of', 'bad', 'conscience', 'and', 'as', 'for', 'playing', 'the', 'part', 'of', 'miser', 'it', 'would', 'never', 'do', 'for', 'him', 'to', 'relapse', 'into', 'such', 'bad', 'ways', 'as', 'that', 'we', 'have', 'seen', 'before', 'to', 'what', 'results', 'such', 'asceticism', 'leads']"," very well , and by way of reward -PRON- be now in possession of good yarn instead of a bad conscience ; and as for play the part of a miser , -PRON- would never do for -PRON- to relapse into such bad way as that ; -PRON- have see before to what result such asceticism lead ."
Capital,Marx,communism,"Senior, who may be called the bel esprit of English economists, well known, alike for his economic science, and for his beautiful style, was summoned from Oxford to Manchester, to learn in the latter place, the Political Economy that he taught in the former.","Senior, who may be called the bel esprit of English economists, well known, alike for his economic science, and for his beautiful style, was summoned from Oxford to Manchester, to learn in the latter place, the Political Economy that he taught in the former.",1883,1887,258,"senior, who may be called the bel esprit of english economists, well known, alike for his economic science, and for his beautiful style, was summoned from oxford to manchester, to learn in the latter place, the political economy that he taught in the former.","['senior', 'who', 'may', 'be', 'called', 'the', 'bel', 'esprit', 'of', 'english', 'economists', 'well', 'known', 'alike', 'for', 'his', 'economic', 'science', 'and', 'for', 'his', 'beautiful', 'style', 'was', 'summoned', 'from', 'oxford', 'to', 'manchester', 'to', 'learn', 'in', 'the', 'latter', 'place', 'the', 'political', 'economy', 'that', 'he', 'taught', 'in', 'the', 'former']"," senior , who may be call the bel esprit of english economist , well know , alike for -PRON- economic science , and for -PRON- beautiful style , be summon from Oxford to Manchester , to learn in the latter place , the Political Economy that -PRON- teach in the former ."
Capital,Marx,communism,"The use of one and the same technical term in different senses is inconvenient, but in no science can it be altogether avoided.","The use of one and the same technical term in different senses is inconvenient, but in no science can it be altogether avoided.",1883,1887,127,"the use of one and the same technical term in different senses is inconvenient, but in no science can it be altogether avoided.","['the', 'use', 'of', 'one', 'and', 'the', 'same', 'technical', 'term', 'in', 'different', 'senses', 'is', 'inconvenient', 'but', 'in', 'no', 'science', 'can', 'it', 'be', 'altogether', 'avoided']"," the use of one and the same technical term in different sense be inconvenient , but in no science can -PRON- be altogether avoid ."
Capital,Marx,communism,"It is, besides their real ignorance, their apologetic dread of a scientific analysis of value and surplus value, and of obtaining a result, possibly not altogether palatable to the powers that be.","It is, besides their real ignorance, their apologetic dread of a scientific analysis of value and surplus value, and of obtaining a result, possibly not altogether palatable to the powers that be.",1883,1887,196,"it is, besides their real ignorance, their apologetic dread of a scientific analysis of value and surplus value, and of obtaining a result, possibly not altogether palatable to the powers that be.","['it', 'is', 'besides', 'their', 'real', 'ignorance', 'their', 'apologetic', 'dread', 'of', 'scientific', 'analysis', 'of', 'value', 'and', 'surplus', 'value', 'and', 'of', 'obtaining', 'result', 'possibly', 'not', 'altogether', 'palatable', 'to', 'the', 'powers', 'that', 'be']"," -PRON- be , besides -PRON- real ignorance , -PRON- apologetic dread of a scientific analysis of value and surplus value , and of obtain a result , possibly not altogether palatable to the power that be ."
Capital,Marx,communism,"It is highly characteristic of the present status of so called economic science, that neither Senior himself, who, at a later period, to his honour be it said, energetically supported the factory legislation, nor his opponents, from first to last, have ever been able to explain the false conclusions of the original discovery.","It is highly characteristic of the present status of so called economic science, that neither Senior himself, who, at a later period, to his honour be it said, energetically supported the factory legislation, nor his opponents, from first to last, have ever been able to explain the false conclusions of the original discovery.",1883,1887,327,"it is highly characteristic of the present status of so called economic science, that neither senior himself, who, at a later period, to his honour be it said, energetically supported the factory legislation, nor his opponents, from first to last, have ever been able to explain the false conclusions of the original discovery.","['it', 'is', 'highly', 'characteristic', 'of', 'the', 'present', 'status', 'of', 'so', 'called', 'economic', 'science', 'that', 'neither', 'senior', 'himself', 'who', 'at', 'later', 'period', 'to', 'his', 'honour', 'be', 'it', 'said', 'energetically', 'supported', 'the', 'factory', 'legislation', 'nor', 'his', 'opponents', 'from', 'first', 'to', 'last', 'have', 'ever', 'been', 'able', 'to', 'explain', 'the', 'false', 'conclusions', 'of', 'the', 'original', 'discovery']"," -PRON- be highly characteristic of the present status of so call economic science , that neither Senior -PRON- , who , at a later period , to -PRON- honour be -PRON- say , energetically support the factory legislation , nor -PRON- opponent , from first to last , have ever be able to explain the false conclusion of the original discovery ."
Capital,Marx,communism,The Pharisees of Political Economy now proclaimed the discernment of the necessity of a legally fixed working day as a characteristic new discovery of their science.,The Pharisees of Political Economy now proclaimed the discernment of the necessity of a legally fixed working day as a characteristic new discovery of their science.,1883,1887,165,the pharisees of political economy now proclaimed the discernment of the necessity of a legally fixed working day as a characteristic new discovery of their science.,"['the', 'pharisees', 'of', 'political', 'economy', 'now', 'proclaimed', 'the', 'discernment', 'of', 'the', 'necessity', 'of', 'legally', 'fixed', 'working', 'day', 'as', 'characteristic', 'new', 'discovery', 'of', 'their', 'science']", the Pharisees of Political Economy now proclaim the discernment of the necessity of a legally fix work day as a characteristic new discovery of -PRON- science .
Capital,Marx,communism,"Work and Over work, in Social Science Review, th July,.","Work and Over work, in Social Science Review, th July,.",1883,1887,55,"work and over work, in social science review, th july,.","['work', 'and', 'over', 'work', 'in', 'social', 'science', 'review', 'th', 'july']"," work and over work , in Social Science Review , th July , ."
Capital,Marx,communism,Is it a scientific advance to make cowardly concessions to public opinion?,Is it a scientific advance to make cowardly concessions to public opinion?,1883,1887,74,is it a scientific advance to make cowardly concessions to public opinion?,"['is', 'it', 'scientific', 'advance', 'to', 'make', 'cowardly', 'concessions', 'to', 'public', 'opinion']", be -PRON- a scientific advance to make cowardly concession to public opinion ?
Capital,Marx,communism,"Here, as in natural science, is shown the correctness of the law discovered by Hegel (in his Logic, that merely quantitative differences beyond a certain point pass into qualitative changes.","Here, as in natural science, is shown the correctness of the law discovered by Hegel (in his Logic, that merely quantitative differences beyond a certain point pass into qualitative changes.",1883,1887,190,"here, as in natural science, is shown the correctness of the law discovered by hegel (in his logic, that merely quantitative differences beyond a certain point pass into qualitative changes.","['here', 'as', 'in', 'natural', 'science', 'is', 'shown', 'the', 'correctness', 'of', 'the', 'law', 'discovered', 'by', 'hegel', 'in', 'his', 'logic', 'that', 'merely', 'quantitative', 'differences', 'beyond', 'certain', 'point', 'pass', 'into', 'qualitative', 'changes']"," here , as in natural science , be show the correctness of the law discover by Hegel ( in -PRON- logic , that merely quantitative difference beyond a certain point pass into qualitative change ."
Capital,Marx,communism,The molecular theory of modern chemistry first scientifically worked out by Laurent and Gerhardt rests on no other law.,The molecular theory of modern chemistry first scientifically worked out by Laurent and Gerhardt rests on no other law.,1883,1887,119,the molecular theory of modern chemistry first scientifically worked out by laurent and gerhardt rests on no other law.,"['the', 'molecular', 'theory', 'of', 'modern', 'chemistry', 'first', 'scientifically', 'worked', 'out', 'by', 'laurent', 'and', 'gerhardt', 'rests', 'on', 'no', 'other', 'law']", the molecular theory of modern chemistry first scientifically work out by Laurent and Gerhardt rest on no other law .
Capital,Marx,communism,"But this much is clear; a scientific analysis of competition is not possible, before we have a conception of the inner nature of capital, just as the apparent motions of the heavenly bodies are not intelligible to any but him, who is acquainted with their real motions, motions which are not directly perceptible by the senses.","But this much is clear; a scientific analysis of competition is not possible, before we have a conception of the inner nature of capital, just as the apparent motions of the heavenly bodies are not intelligible to any but him, who is acquainted with their real motions, motions which are not directly perceptible by the senses.",1883,1887,327,"but this much is clear; a scientific analysis of competition is not possible, before we have a conception of the inner nature of capital, just as the apparent motions of the heavenly bodies are not intelligible to any but him, who is acquainted with their real motions, motions which are not directly perceptible by the senses.","['but', 'this', 'much', 'is', 'clear', 'scientific', 'analysis', 'of', 'competition', 'is', 'not', 'possible', 'before', 'we', 'have', 'conception', 'of', 'the', 'inner', 'nature', 'of', 'capital', 'just', 'as', 'the', 'apparent', 'motions', 'of', 'the', 'heavenly', 'bodies', 'are', 'not', 'intelligible', 'to', 'any', 'but', 'him', 'who', 'is', 'acquainted', 'with', 'their', 'real', 'motions', 'motions', 'which', 'are', 'not', 'directly', 'perceptible', 'by', 'the', 'senses']"," but this much be clear ; a scientific analysis of competition be not possible , before -PRON- have a conception of the inner nature of capital , just as the apparent motion of the heavenly body be not intelligible to any but -PRON- , who be acquaint with -PRON- real motion , motion which be not directly perceptible by the sense ."
Capital,Marx,communism,"This narrow technical basis excludes a really scientific analysis of any definite process of industrial production, since it is still a condition that each detail process gone through by the product must be capable of being done by hand and of forming, in its way, a separate handicraft.","This narrow technical basis excludes a really scientific analysis of any definite process of industrial production, since it is still a condition that each detail process gone through by the product must be capable of being done by hand and of forming, in its way, a separate handicraft.",1883,1887,287,"this narrow technical basis excludes a really scientific analysis of any definite process of industrial production, since it is still a condition that each detail process gone through by the product must be capable of being done by hand and of forming, in its way, a separate handicraft.","['this', 'narrow', 'technical', 'basis', 'excludes', 'really', 'scientific', 'analysis', 'of', 'any', 'definite', 'process', 'of', 'industrial', 'production', 'since', 'it', 'is', 'still', 'condition', 'that', 'each', 'detail', 'process', 'gone', 'through', 'by', 'the', 'product', 'must', 'be', 'capable', 'of', 'being', 'done', 'by', 'hand', 'and', 'of', 'forming', 'in', 'its', 'way', 'separate', 'handicraft']"," this narrow technical basis exclude a really scientific analysis of any definite process of industrial production , since -PRON- be still a condition that each detail process go through by the product must be capable of be do by hand and of form , in -PRON- way , a separate handicraft ."
Capital,Marx,communism,"The sporadic use of machinery in the th century was of the greatest importance, because it supplied the great mathematicians of that time with a practical basis and stimulant to the creation of the science of mechanics.","The sporadic use of machinery in the th century was of the greatest importance, because it supplied the great mathematicians of that time with a practical basis and stimulant to the creation of the science of mechanics.",1883,1887,219,"the sporadic use of machinery in the th century was of the greatest importance, because it supplied the great mathematicians of that time with a practical basis and stimulant to the creation of the science of mechanics.","['the', 'sporadic', 'use', 'of', 'machinery', 'in', 'the', 'th', 'century', 'was', 'of', 'the', 'greatest', 'importance', 'because', 'it', 'supplied', 'the', 'great', 'mathematicians', 'of', 'that', 'time', 'with', 'practical', 'basis', 'and', 'stimulant', 'to', 'the', 'creation', 'of', 'the', 'science', 'of', 'mechanics']"," the sporadic use of machinery in the th century be of the great importance , because -PRON- supply the great mathematician of that time with a practical basis and stimulant to the creation of the science of mechanic ."
Capital,Marx,communism,"It is completed in modern industry, which makes science a productive force distinct from labour and presses it into the service of capital.","It is completed in modern industry, which makes science a productive force distinct from labour and presses it into the service of capital.",1883,1887,139,"it is completed in modern industry, which makes science a productive force distinct from labour and presses it into the service of capital.","['it', 'is', 'completed', 'in', 'modern', 'industry', 'which', 'makes', 'science', 'productive', 'force', 'distinct', 'from', 'labour', 'and', 'presses', 'it', 'into', 'the', 'service', 'of', 'capital']"," -PRON- be complete in modern industry , which make science a productive force distinct from labour and press -PRON- into the service of capital ."
Capital,Marx,communism,"Political Economy, which as an independent science, first sprang into being during the period of manufacture, views the social division of labour only from the standpoint of manufacture, and sees in it only the means of producing more commodities with a given quantity of labour, and, consequently, of cheapening commodities and hurrying on the accumulation of capital.","Political Economy, which as an independent science, first sprang into being during the period of manufacture, views the social division of labour only from the standpoint of manufacture, and sees in it only the means of producing more commodities with a given quantity of labour, and, consequently, of cheapening commodities and hurrying on the accumulation of capital.",1883,1887,369,"political economy, which as an independent science, first sprang into being during the period of manufacture, views the social division of labour only from the standpoint of manufacture, and sees in it only the means of producing more commodities with a given quantity of labour, and, consequently, of cheapening commodities and hurrying on the accumulation of capital.","['political', 'economy', 'which', 'as', 'an', 'independent', 'science', 'first', 'sprang', 'into', 'being', 'during', 'the', 'period', 'of', 'manufacture', 'views', 'the', 'social', 'division', 'of', 'labour', 'only', 'from', 'the', 'standpoint', 'of', 'manufacture', 'and', 'sees', 'in', 'it', 'only', 'the', 'means', 'of', 'producing', 'more', 'commodities', 'with', 'given', 'quantity', 'of', 'labour', 'and', 'consequently', 'of', 'cheapening', 'commodities', 'and', 'hurrying', 'on', 'the', 'accumulation', 'of', 'capital']"," political Economy , which as an independent science , first spring into be during the period of manufacture , view the social division of labour only from the standpoint of manufacture , and see in -PRON- only the mean of produce more commodity with a give quantity of labour , and , consequently , of cheapen commodity and hurry on the accumulation of capital ."
Capital,Marx,communism,"Ramazzini, professor of practical medicine at Padua, published in his work De morbis artificum, which was translated into French reprinted in the Encyclop die des Sciences dicales.","Ramazzini, professor of practical medicine at Padua, published in his work De morbis artificum, which was translated into French reprinted in the Encyclop die des Sciences dicales.",1883,1887,180,"ramazzini, professor of practical medicine at padua, published in his work de morbis artificum, which was translated into french reprinted in the encyclop die des sciences dicales.","['ramazzini', 'professor', 'of', 'practical', 'medicine', 'at', 'padua', 'published', 'in', 'his', 'work', 'de', 'morbis', 'artificum', 'which', 'was', 'translated', 'into', 'french', 'reprinted', 'in', 'the', 'encyclop', 'die', 'des', 'sciences', 'dicales']"," Ramazzini , professor of practical medicine at Padua , publish in -PRON- work De morbis artificum , which be translate into French reprint in the Encyclop die des Sciences dicale ."
Capital,Marx,communism,"In this way, during the manufacturing period, were developed the first scientific and technical elements of Modern Mechanical Industry.","In this way, during the manufacturing period, were developed the first scientific and technical elements of Modern Mechanical Industry.",1883,1887,135,"in this way, during the manufacturing period, were developed the first scientific and technical elements of modern mechanical industry.","['in', 'this', 'way', 'during', 'the', 'manufacturing', 'period', 'were', 'developed', 'the', 'first', 'scientific', 'and', 'technical', 'elements', 'of', 'modern', 'mechanical', 'industry']"," in this way , during the manufacturing period , be develop the first scientific and technical element of Modern Mechanical Industry ."
