title,author,school,sentence_spacy,sentence_str,original_publication_date,corpus_edition_date,sentence_length,sentence_lowered,tokenized_txt,lemmatized_str
Theodicy,Leibniz,rationalism,"He was a great anatomist and deeply versed in natural science; but he unfortunately gave up research therein, and from being a great physicist he became a mediocre theologian.","He was a great anatomist and deeply versed in natural science; but he unfortunately gave up research therein, and from being a great physicist he became a mediocre theologian.",1710,2005,175,"he was a great anatomist and deeply versed in natural science; but he unfortunately gave up research therein, and from being a great physicist he became a mediocre theologian.","['he', 'was', 'great', 'anatomist', 'and', 'deeply', 'versed', 'in', 'natural', 'science', 'but', 'he', 'unfortunately', 'gave', 'up', 'research', 'therein', 'and', 'from', 'being', 'great', 'physicist', 'he', 'became', 'mediocre', 'theologian']"," -PRON- be a great anatomist and deeply versed in natural science ; but -PRON- unfortunately give up research therein , and from be a great physicist -PRON- become a mediocre theologian ."
Theodicy,Leibniz,rationalism,"If Melissus consults the notions of order, he will answer that man was not wicked when God made him; he will say that man received from God a happy state, but that not having followed the light of conscience, which in accordance with the intention of its author should have guided him along the path of virtue, he has become wicked, and has deserved that God the supremely good should make him feel the effects of his anger.","If Melissus consults the notions of order, he will answer that man was not wicked when God made him; he will say that man received from God a happy state, but that not having followed the light of conscience, which in accordance with the intention of its author should have guided him along the path of virtue, he has become wicked, and has deserved that God the supremely good should make him feel the effects of his anger.",1710,2005,424,"if melissus consults the notions of order, he will answer that man was not wicked when god made him; he will say that man received from god a happy state, but that not having followed the light of conscience, which in accordance with the intention of its author should have guided him along the path of virtue, he has become wicked, and has deserved that god the supremely good should make him feel the effects of his anger.","['if', 'melissus', 'consults', 'the', 'notions', 'of', 'order', 'he', 'will', 'answer', 'that', 'man', 'was', 'not', 'wicked', 'when', 'god', 'made', 'him', 'he', 'will', 'say', 'that', 'man', 'received', 'from', 'god', 'happy', 'state', 'but', 'that', 'not', 'having', 'followed', 'the', 'light', 'of', 'conscience', 'which', 'in', 'accordance', 'with', 'the', 'intention', 'of', 'its', 'author', 'should', 'have', 'guided', 'him', 'along', 'the', 'path', 'of', 'virtue', 'he', 'has', 'become', 'wicked', 'and', 'has', 'deserved', 'that', 'god', 'the', 'supremely', 'good', 'should', 'make', 'him', 'feel', 'the', 'effects', 'of', 'his', 'anger']"," if Melissus consult the notion of order , -PRON- will answer that man be not wicked when God make -PRON- ; -PRON- will say that man receive from God a happy state , but that not have follow the light of conscience , which in accordance with the intention of -PRON- author should have guide -PRON- along the path of virtue , -PRON- have become wicked , and have deserve that God the supremely good should make -PRON- feel the effect of -PRON- anger ."
Theodicy,Leibniz,rationalism,"That, however, does not hinder those who do not see the connexion of all things one with another and with God from being able to understand certain sciences, without knowing their first source, which is in God.","That, however, does not hinder those who do not see the connexion of all things one with another and with God from being able to understand certain sciences, without knowing their first source, which is in God.",1710,2005,210,"that, however, does not hinder those who do not see the connexion of all things one with another and with god from being able to understand certain sciences, without knowing their first source, which is in god.","['that', 'however', 'does', 'not', 'hinder', 'those', 'who', 'do', 'not', 'see', 'the', 'connexion', 'of', 'all', 'things', 'one', 'with', 'another', 'and', 'with', 'god', 'from', 'being', 'able', 'to', 'understand', 'certain', 'sciences', 'without', 'knowing', 'their', 'first', 'source', 'which', 'is', 'in', 'god']"," that , however , do not hinder those who do not see the connexion of all thing one with another and with God from be able to understand certain science , without know -PRON- first source , which be in God ."
Theodicy,Leibniz,rationalism,"The more the wicked man sets himself above the promptings of conscience and of honour, the more does he exceed the good man in strength, so that if he comes to grips with the good man he must, according to the course of nature, ruin him.","The more the wicked man sets himself above the promptings of conscience and of honour, the more does he exceed the good man in strength, so that if he comes to grips with the good man he must, according to the course of nature, ruin him.",1710,2005,237,"the more the wicked man sets himself above the promptings of conscience and of honour, the more does he exceed the good man in strength, so that if he comes to grips with the good man he must, according to the course of nature, ruin him.","['the', 'more', 'the', 'wicked', 'man', 'sets', 'himself', 'above', 'the', 'promptings', 'of', 'conscience', 'and', 'of', 'honour', 'the', 'more', 'does', 'he', 'exceed', 'the', 'good', 'man', 'in', 'strength', 'so', 'that', 'if', 'he', 'comes', 'to', 'grips', 'with', 'the', 'good', 'man', 'he', 'must', 'according', 'to', 'the', 'course', 'of', 'nature', 'ruin', 'him']"," the more the wicked man set -PRON- above the prompting of conscience and of honour , the more do -PRON- exceed the good man in strength , so that if -PRON- come to grip with the good man -PRON- must , accord to the course of nature , ruin -PRON- ."
Theodicy,Leibniz,rationalism,"A man to whom is suggested the doing of a deed contrary to his duty, his honour and his conscience, who answers forthwith that he is incapable of such a crime, and who is certainly not capable of it, is far more contented with himself than if he asked for time to consider it, and were for some hours in a state of indecision as to which course to take.","A man to whom is suggested the doing of a deed contrary to his duty, his honour and his conscience, who answers forthwith that he is incapable of such a crime, and who is certainly not capable of it, is far more contented with himself than if he asked for time to consider it, and were for some hours in a state of indecision as to which course to take.",1710,2005,353,"a man to whom is suggested the doing of a deed contrary to his duty, his honour and his conscience, who answers forthwith that he is incapable of such a crime, and who is certainly not capable of it, is far more contented with himself than if he asked for time to consider it, and were for some hours in a state of indecision as to which course to take.","['man', 'to', 'whom', 'is', 'suggested', 'the', 'doing', 'of', 'deed', 'contrary', 'to', 'his', 'duty', 'his', 'honour', 'and', 'his', 'conscience', 'who', 'answers', 'forthwith', 'that', 'he', 'is', 'incapable', 'of', 'such', 'crime', 'and', 'who', 'is', 'certainly', 'not', 'capable', 'of', 'it', 'is', 'far', 'more', 'contented', 'with', 'himself', 'than', 'if', 'he', 'asked', 'for', 'time', 'to', 'consider', 'it', 'and', 'were', 'for', 'some', 'hours', 'in', 'state', 'of', 'indecision', 'as', 'to', 'which', 'course', 'to', 'take']"," a man to whom be suggest the doing of a deed contrary to -PRON- duty , -PRON- honour and -PRON- conscience , who answer forthwith that -PRON- be incapable of such a crime , and who be certainly not capable of -PRON- , be far more contented with -PRON- than if -PRON- ask for time to consider -PRON- , and be for some hour in a state of indecision as to which course to take ."
Discourse On Method,Descartes,rationalism,"If this Discourse appear too long to be read at once, it may be divided into six Parts: and, in the first, will be found various considerations touching the Sciences; in the second, the principal rules of the Method which the Author has discovered, in the third, certain of the rules of Morals which he has deduced from this Method; in the fourth, the reasonings by which he establishes the existence of God and of the Human Soul, which are the foundations of his Metaphysic; in the fifth, the order of the Physical questions which he has investigated, and, in particular, the explication of the motion of the heart and of some other difficulties pertaining to Medicine, as also the difference between the soul of man and that of the brutes; and, in the last, what the Author believes to be required in order to greater advancement in the investigation of Nature than has yet been made, with the reasons that have induced him to write.","If this Discourse appear too long to be read at once, it may be divided into six Parts: and, in the first, will be found various considerations touching the Sciences; in the second, the principal rules of the Method which the Author has discovered, in the third, certain of the rules of Morals which he has deduced from this Method; in the fourth, the reasonings by which he establishes the existence of God and of the Human Soul, which are the foundations of his Metaphysic; in the fifth, the order of the Physical questions which he has investigated, and, in particular, the explication of the motion of the heart and of some other difficulties pertaining to Medicine, as also the difference between the soul of man and that of the brutes; and, in the last, what the Author believes to be required in order to greater advancement in the investigation of Nature than has yet been made, with the reasons that have induced him to write.",1637,2008,935,"if this discourse appear too long to be read at once, it may be divided into six parts: and, in the first, will be found various considerations touching the sciences; in the second, the principal rules of the method which the author has discovered, in the third, certain of the rules of morals which he has deduced from this method; in the fourth, the reasonings by which he establishes the existence of god and of the human soul, which are the foundations of his metaphysic; in the fifth, the order of the physical questions which he has investigated, and, in particular, the explication of the motion of the heart and of some other difficulties pertaining to medicine, as also the difference between the soul of man and that of the brutes; and, in the last, what the author believes to be required in order to greater advancement in the investigation of nature than has yet been made, with the reasons that have induced him to write.","['if', 'this', 'discourse', 'appear', 'too', 'long', 'to', 'be', 'read', 'at', 'once', 'it', 'may', 'be', 'divided', 'into', 'six', 'parts', 'and', 'in', 'the', 'first', 'will', 'be', 'found', 'various', 'considerations', 'touching', 'the', 'sciences', 'in', 'the', 'second', 'the', 'principal', 'rules', 'of', 'the', 'method', 'which', 'the', 'author', 'has', 'discovered', 'in', 'the', 'third', 'certain', 'of', 'the', 'rules', 'of', 'morals', 'which', 'he', 'has', 'deduced', 'from', 'this', 'method', 'in', 'the', 'fourth', 'the', 'reasonings', 'by', 'which', 'he', 'establishes', 'the', 'existence', 'of', 'god', 'and', 'of', 'the', 'human', 'soul', 'which', 'are', 'the', 'foundations', 'of', 'his', 'metaphysic', 'in', 'the', 'fifth', 'the', 'order', 'of', 'the', 'physical', 'questions', 'which', 'he', 'has', 'investigated', 'and', 'in', 'particular', 'the', 'explication', 'of', 'the', 'motion', 'of', 'the', 'heart', 'and', 'of', 'some', 'other', 'difficulties', 'pertaining', 'to', 'medicine', 'as', 'also', 'the', 'difference', 'between', 'the', 'soul', 'of', 'man', 'and', 'that', 'of', 'the', 'brutes', 'and', 'in', 'the', 'last', 'what', 'the', 'author', 'believes', 'to', 'be', 'required', 'in', 'order', 'to', 'greater', 'advancement', 'in', 'the', 'investigation', 'of', 'nature', 'than', 'has', 'yet', 'been', 'made', 'with', 'the', 'reasons', 'that', 'have', 'induced', 'him', 'to', 'write']"," if this discourse appear too long to be read at once , -PRON- may be divide into six part : and , in the first , will be find various consideration touch the Sciences ; in the second , the principal rule of the method which the author have discover , in the third , certain of the rule of moral which -PRON- have deduce from this method ; in the fourth , the reasoning by which -PRON- establish the existence of God and of the Human Soul , which be the foundation of -PRON- Metaphysic ; in the fifth , the order of the Physical question which -PRON- have investigate , and , in particular , the explication of the motion of the heart and of some other difficulty pertain to Medicine , as also the difference between the soul of man and that of the brute ; and , in the last , what the author believe to be require in order to great advancement in the investigation of Nature than have yet be make , with the reason that have induce -PRON- to write ."
Discourse On Method,Descartes,rationalism,"I had been taught all that others learned there; and not contented with the sciences actually taught us, I had, in addition, read all the books that had fallen into my hands, treating of such branches as are esteemed the most curious and rare.","I had been taught all that others learned there; and not contented with the sciences actually taught us, I had, in addition, read all the books that had fallen into my hands, treating of such branches as are esteemed the most curious and rare.",1637,2008,243,"i had been taught all that others learned there; and not contented with the sciences actually taught us, i had, in addition, read all the books that had fallen into my hands, treating of such branches as are esteemed the most curious and rare.","['had', 'been', 'taught', 'all', 'that', 'others', 'learned', 'there', 'and', 'not', 'contented', 'with', 'the', 'sciences', 'actually', 'taught', 'us', 'had', 'in', 'addition', 'read', 'all', 'the', 'books', 'that', 'had', 'fallen', 'into', 'my', 'hands', 'treating', 'of', 'such', 'branches', 'as', 'are', 'esteemed', 'the', 'most', 'curious', 'and', 'rare']"," -PRON- have be teach all that other learn there ; and not contented with the science actually teach -PRON- , -PRON- have , in addition , read all the book that have fall into -PRON- hand , treat of such branch as be esteem the most curious and rare ."
Discourse On Method,Descartes,rationalism,"I was thus led to take the liberty of judging of all other men by myself, and of concluding that there was no science in existence that was of such a nature as I had previously been given to believe.","I was thus led to take the liberty of judging of all other men by myself, and of concluding that there was no science in existence that was of such a nature as I had previously been given to believe.",1637,2008,199,"i was thus led to take the liberty of judging of all other men by myself, and of concluding that there was no science in existence that was of such a nature as i had previously been given to believe.","['was', 'thus', 'led', 'to', 'take', 'the', 'liberty', 'of', 'judging', 'of', 'all', 'other', 'men', 'by', 'myself', 'and', 'of', 'concluding', 'that', 'there', 'was', 'no', 'science', 'in', 'existence', 'that', 'was', 'of', 'such', 'nature', 'as', 'had', 'previously', 'been', 'given', 'to', 'believe']"," -PRON- be thus lead to take the liberty of judging of all other man by -PRON- , and of conclude that there be no science in existence that be of such a nature as -PRON- have previously be give to believe ."
Discourse On Method,Descartes,rationalism,"all the arts an lessen the labour of man; that numerous highly useful precepts and exhortations to virtue are contained in treatises on morals; that theology points out the path to heaven; that philosophy affords the means of discoursing with an appearance of truth on all matters, and commands the admiration of the more simple; that jurisprudence, medicine, and the other sciences, secure for their cultivators honors and riches; and, in fine, that it is useful to bestow some attention upon all, even upon those abounding the most in superstition and error, that we may be in a position to determine their real value, and guard against being deceived.","all the arts an lessen the labour of man; that numerous highly useful precepts and exhortations to virtue are contained in treatises on morals; that theology points out the path to heaven; that philosophy affords the means of discoursing with an appearance of truth on all matters, and commands the admiration of the more simple; that jurisprudence, medicine, and the other sciences, secure for their cultivators honors and riches; and, in fine, that it is useful to bestow some attention upon all, even upon those abounding the most in superstition and error, that we may be in a position to determine their real value, and guard against being deceived.",1637,2008,654,"all the arts an lessen the labour of man; that numerous highly useful precepts and exhortations to virtue are contained in treatises on morals; that theology points out the path to heaven; that philosophy affords the means of discoursing with an appearance of truth on all matters, and commands the admiration of the more simple; that jurisprudence, medicine, and the other sciences, secure for their cultivators honors and riches; and, in fine, that it is useful to bestow some attention upon all, even upon those abounding the most in superstition and error, that we may be in a position to determine their real value, and guard against being deceived.","['all', 'the', 'arts', 'an', 'lessen', 'the', 'labour', 'of', 'man', 'that', 'numerous', 'highly', 'useful', 'precepts', 'and', 'exhortations', 'to', 'virtue', 'are', 'contained', 'in', 'treatises', 'on', 'morals', 'that', 'theology', 'points', 'out', 'the', 'path', 'to', 'heaven', 'that', 'philosophy', 'affords', 'the', 'means', 'of', 'discoursing', 'with', 'an', 'appearance', 'of', 'truth', 'on', 'all', 'matters', 'and', 'commands', 'the', 'admiration', 'of', 'the', 'more', 'simple', 'that', 'jurisprudence', 'medicine', 'and', 'the', 'other', 'sciences', 'secure', 'for', 'their', 'cultivators', 'honors', 'and', 'riches', 'and', 'in', 'fine', 'that', 'it', 'is', 'useful', 'to', 'bestow', 'some', 'attention', 'upon', 'all', 'even', 'upon', 'those', 'abounding', 'the', 'most', 'in', 'superstition', 'and', 'error', 'that', 'we', 'may', 'be', 'in', 'position', 'to', 'determine', 'their', 'real', 'value', 'and', 'guard', 'against', 'being', 'deceived']"," all the art an lessen the labour of man ; that numerous highly useful precept and exhortation to virtue be contain in treatise on moral ; that theology point out the path to heaven ; that philosophy afford the mean of discourse with an appearance of truth on all matter , and command the admiration of the more simple ; that jurisprudence , medicine , and the other science , secure for -PRON- cultivator honor and rich ; and , in fine , that -PRON- be useful to bestow some attention upon all , even upon those abound the most in superstition and error , that -PRON- may be in a position to determine -PRON- real value , and guard against be deceive ."
Discourse On Method,Descartes,rationalism,"As to the other sciences, inasmuch as these borrow their principles from philosophy, I judged that no solid superstructures could be reared on foundations so infirm; and neither the honor nor the gain held out by them was sufficient to determine me to their cultivation: for I was not, thank Heaven, in a condition which compelled me to make merchandise of science for the bettering of my fortune; and though I might not profess to scorn glory as a cynic, I yet made very slight account of that honor which I hoped to acquire only through fictitious titles.","As to the other sciences, inasmuch as these borrow their principles from philosophy, I judged that no solid superstructures could be reared on foundations so infirm; and neither the honor nor the gain held out by them was sufficient to determine me to their cultivation: for I was not, thank Heaven, in a condition which compelled me to make merchandise of science for the bettering of my fortune; and though I might not profess to scorn glory as a cynic, I yet made very slight account of that honor which I hoped to acquire only through fictitious titles.",1637,2008,557,"as to the other sciences, inasmuch as these borrow their principles from philosophy, i judged that no solid superstructures could be reared on foundations so infirm; and neither the honor nor the gain held out by them was sufficient to determine me to their cultivation: for i was not, thank heaven, in a condition which compelled me to make merchandise of science for the bettering of my fortune; and though i might not profess to scorn glory as a cynic, i yet made very slight account of that honor which i hoped to acquire only through fictitious titles.","['as', 'to', 'the', 'other', 'sciences', 'inasmuch', 'as', 'these', 'borrow', 'their', 'principles', 'from', 'philosophy', 'judged', 'that', 'no', 'solid', 'superstructures', 'could', 'be', 'reared', 'on', 'foundations', 'so', 'infirm', 'and', 'neither', 'the', 'honor', 'nor', 'the', 'gain', 'held', 'out', 'by', 'them', 'was', 'sufficient', 'to', 'determine', 'me', 'to', 'their', 'cultivation', 'for', 'was', 'not', 'thank', 'heaven', 'in', 'condition', 'which', 'compelled', 'me', 'to', 'make', 'merchandise', 'of', 'science', 'for', 'the', 'bettering', 'of', 'my', 'fortune', 'and', 'though', 'might', 'not', 'profess', 'to', 'scorn', 'glory', 'as', 'cynic', 'yet', 'made', 'very', 'slight', 'account', 'of', 'that', 'honor', 'which', 'hoped', 'to', 'acquire', 'only', 'through', 'fictitious', 'titles']"," as to the other science , inasmuch as these borrow -PRON- principle from philosophy , -PRON- judge that no solid superstructure could be rear on foundation so infirm ; and neither the honor nor the gain hold out by -PRON- be sufficient to determine -PRON- to -PRON- cultivation : for -PRON- be not , thank Heaven , in a condition which compel -PRON- to make merchandise of science for the bettering of -PRON- fortune ; and though -PRON- may not profess to scorn glory as a cynic , -PRON- yet make very slight account of that honor which -PRON- hope to acquire only through fictitious title ."
Discourse On Method,Descartes,rationalism,"And, in fine, of false sciences I thought I knew the worth sufficiently to escape being deceived by the professions of an alchemist,","And, in fine, of false sciences I thought I knew the worth sufficiently to escape being deceived by the professions of an alchemist,",1637,2008,132,"and, in fine, of false sciences i thought i knew the worth sufficiently to escape being deceived by the professions of an alchemist,","['and', 'in', 'fine', 'of', 'false', 'sciences', 'thought', 'knew', 'the', 'worth', 'sufficiently', 'to', 'escape', 'being', 'deceived', 'by', 'the', 'professions', 'of', 'an', 'alchemist']"," and , in fine , of false science -PRON- think -PRON- know the worth sufficiently to escape be deceive by the profession of an alchemist ,"
Discourse On Method,Descartes,rationalism,"For these reasons, as soon as my age permitted me to pass from under the control of my instructors, I entirely abandoned the study of letters, and resolved no longer to seek any other science than the knowledge of myself, or of the great book of the world.","For these reasons, as soon as my age permitted me to pass from under the control of my instructors, I entirely abandoned the study of letters, and resolved no longer to seek any other science than the knowledge of myself, or of the great book of the world.",1637,2008,256,"for these reasons, as soon as my age permitted me to pass from under the control of my instructors, i entirely abandoned the study of letters, and resolved no longer to seek any other science than the knowledge of myself, or of the great book of the world.","['for', 'these', 'reasons', 'as', 'soon', 'as', 'my', 'age', 'permitted', 'me', 'to', 'pass', 'from', 'under', 'the', 'control', 'of', 'my', 'instructors', 'entirely', 'abandoned', 'the', 'study', 'of', 'letters', 'and', 'resolved', 'no', 'longer', 'to', 'seek', 'any', 'other', 'science', 'than', 'the', 'knowledge', 'of', 'myself', 'or', 'of', 'the', 'great', 'book', 'of', 'the', 'world']"," for these reason , as soon as -PRON- age permit -PRON- to pass from under the control of -PRON- instructor , -PRON- entirely abandon the study of letter , and resolve no longer to seek any other science than the knowledge of -PRON- , or of the great book of the world ."
